staSeq,locationNa,ylat,xlong,munName,ComID,HydroID,LCODE,maxD,source,holD
"16157",Bargh Reservoir,41.130099999999999,-73.612799999999993,STAMFORD,"122243212","201497125",BRR,,,18.6077040700
"19939",Grays Pond,41.139000000000003,-73.622860000000003,GREENWICH,,,,5.2500000000,ABM,1.3272365600
"17446",Bunnells Pond,41.205900000000000,-73.186599999999999,BRIDGEPORT,"122228767","201496801",BPP,6.7056000000,Fisheries,
"15625",Popes Pond,41.218000000000004,-73.453999999999994,WILTON,"122232652","201496875",PPP,,,6.3512793790
"15635",Saugatuck Reservoir,41.250999999999998,-73.350300000000004,WESTON,"122243200","201496765",SAU,34.4424000000,Fisheries,23.4626464000
"15723",Linsley Pond,41.318100000000001,-72.784400000000005,NORTH BRANFORD,"122159522","201496083",LIN,13.4112000000,Fisheries,3.5591188370
"19337",Mamanasco Lake,41.319000000000003,-73.527000000000001,RIDGEFIELD,"55497529","202979927",MAM,3.0480000000,Fisheries,
"15722",Cedar Pond,41.321100000000001,-72.779499999999999,NORTH BRANFORD,"122189448","201496083",CEP,5.1816000000,Fisheries,2.5135480970
"15636",Upper Derby Hill Reservoir,41.324700000000000,-73.072900000000004,DERBY,"122943926","201496359",UDH,,,6.0175458250
"19314",Dodge Pond,41.328000000000003,-72.197999999999993,EAST LYME,"121939143","201495175",DOD,6.0960000000,Fisheries,2.3925221380
"18377",Messerschmidt Pond,41.338909999999998,-72.483760000000004,WESTBROOK,"123017367","201495514",MES,4.4852000000,ABM,
"19993",Gorton Pond,41.342199999999998,-72.210099999999997,EAST LYME,"121939074","201495174",GTP,2.3000000000,ABM,1.9637584780
"15620",Groton (Poquonnock) Reservoir,41.350999999999999,-72.035200000000003,GROTON,"121940141","201494799",GTN,,,1.6630569630
"19317",Forster Pond,41.357298000000000,-72.583950000000002,KILLINGWORTH,"122164916","201495578",FRT,,,6.8120911930
"19359",Rogers Lake,41.364280000000001,-72.301439999999999,OLD LYME,"123018054","201495167",ROG,20.1168000000,Fisheries,9.9163480490
"15611",Beaver Lake,41.370199999999997,-73.059200000000004,SEYMOUR,"122986165","201496079",BVL,,,4.7824812780
"16012",Uncas Pond,41.374009999999998,-72.316909999999993,LYME,"123018006","201494986",UNC,12.1920000000,Fisheries,5.8769668710
"18934",Pataganset Lake (East Lyme),41.374929999999999,-72.229349999999997,EAST LYME,"121945395","201495016",PAT,10.3632000000,Fisheries,8.1940539200
"15627",Lake Kenosia,41.382399999999997,-73.499499999999998,DANBURY,"122986164","201496397",KEN,6.0000000000,ABM,5.5195992380
"15823",Housatonic River (Lake Housatonic),41.383899999999997,-73.168099999999995,OXFORD,"122944881","201496335",HOU,,,
"19350",Norwich Pond,41.385179999999998,-72.302109999999999,LYME,"123016431","201494932",NOP,11.5824000000,Fisheries,2.6456614800
