"MonitoringLocationName","MonitoringLocationIdentifier","ComID","maxD","areasqkm","TOWN","COUNTY","acres"
"Alexander Lake","18677",122356299,16.2,0.79542147,"Killingly","Windham",196.6
"Amos Lake","16030",121935544,14.6,0.44015262,"Preston","New London",108.8
"Avery Pond","19300",121937110,4.3,0.18464522,"Preston","New London",45.6
"Ball Pond","18148",122946916,15.8,0.33565956,"New Fairfield","Fairfield",82.9
"Bantam Lake inlet at Bantam River","20771",NA,NA,NA,"Litchfield","Litchfield",NA
"Bantam Lake Litchfield-Morris","18950",122986238,7.6,3.86027164,"Morris","Litchfield",953.9
"Bantam Lake outflow @ Bantam River","20413",NA,NA,NA,"Litchfield","Litchfield",NA
"Bashan Lake","18149",123014500,14.3,1.03962072,"East Haddam","Middlesex",256.9
"Beach Pond","15621",122369291,19.8,1.41,"Voluntown","New London",348.4
"Beachdale Pond","18929",122369292,2.4,0.151,"Voluntown","New London",37.3
"Beardsley Pond Deep Hole","18375",122972901,7.5,0.17505581,"Sharon","Litchfield",43.3
"Bigelow Pond","16006",116131972,4.9,0.10215108,"Union","Tolland",25.2
"Billings Lake","19304",122359984,10.1,0.38870342,"North Stonington","New London",96.1
"Bissonnette Pond Deep Hole","16181",116132018,2.3,0.21397172,"Willington","Tolland",52.9
"Black Pond","18150",122177570,7,0.14491436,"Middlefield","Middlesex",35.8
"Burr Pond","15614",123629933,4,0.33850835,"Torrington","Litchfield",83.6
"Cedar Lake","19306",123021082,13.7,0.29142172,"Chester","Middlesex",72
"Columbia Lake","18201",116097208,7,1.09997452,"Columbia","Tolland",271.8
"Coventry Wangumbaug Lake","18153",116098840,12.2,1.515,"Coventry","Tolland",374.4
"Crystal Lake Ellington","18154",116129090,15.2,0.80687243,"Ellington","Tolland",199.4
"Crystal Lake Winchester","20764",123631512,12.6,0.55671296,"Winchester","Litchfield",137.6
"Deep Lake","19760",NA,24.9,0.028,"Salisbury","Litchfield",6.9
"Eagleville Pond","15868",116098784,3,0.3216931,"Coventry","Tolland",79.5
"East Twin Lake Washinee Lake","16007",122986080,24.4,2.288,"Salisbury","Litchfield",565.4
"Gardner Lake","16008",121933826,13.1,2.1317958,"Montville","New London",526.8
"Glasgo Pond","19319",122359799,7.6,0.329,"Griswold","New London",81.3
"Gorton Pond","19993",121939074,2.3,0.20876464,"East Lyme","New London",51.6
"Grays Pond","19939",NA,5.2,0.015,"Stamford","Fairfield",3.7
"Green Fall Reservoir","19321",136215971,7.8,0.18834084,"Voluntown","New London",46.5
"Halls Pond","16150",116108086,4.3,0.32968899,"Eastford","Windham",81.5
"Halls Pond Willington","19803",116098484,4.5,0.07127127,"Willington","Tolland",17.6
"Hatch Pond","16349",122954848,7.9,0.27664274,"Kent","Litchfield",68.4
"Highland Lake","18156",123631518,18.9,1.814,"Winchester","Litchfield",448.2
"Killingly Pond","20230",122357660,6.1,0.488,NA,NA,120.6
"Lake Beseck","15705",123009804,7.6,0.45162527,"Middlefield","Middlesex",111.6
"Lake Chaffee","15624",116131688,2.9,0.211,"Ashford","Windham",52.1
"Lake Hayward","15626",123012648,11.3,0.72213308,"East Haddam","Middlesex",178.4
"Lake of Isles","19330",121937117,3,0.36931741,"North Stonington","New London",91.3
"Lake Quassapaug Middlebury","19662",122982929,19.8,1.17303595,"Middlebury","New Haven",289.9
"Lake Terramuggus Marlborough","18953",123008293,13.1,0.34557307,"Marlborough","Hartford",85.4
"Lake Waramaug","15615",122986126,12.2,2.64022289,"Washington","Litchfield",652.4
"Lake Winchester","16156",122968089,5.2,1.00164886,"Winchester","Litchfield",247.5
"Lake Zoar","16188",122975624,19.6,3.02566125,"Newtown","Fairfield",747.7
"Lantern Hill Pond","20178",121937174,9.8,0.081,"North Stonington","New London",20
"Long Meadow Pond NLA2012 Deep Hole","18376",122956553,2.1,0.42605237,"Bethlehem","Litchfield",105.3
"Long Pond","19334",121937190,20.1,0.34486683,"Ledyard","New London",85.2
"Lower Bolton Lake","18271",116115490,7.9,0.72098469,"Bolton","Tolland",178.2
"Mashapaug Pond","15085",116129668,12.2,1.2059489,"Union","Tolland",298
"Messerschmidt Pond","18377",123017367,4.5,0.32041112,"Deep River","Middlesex",79.2
"Milli-Q","14302",NA,NA,NA,"Windsor","Hartford",NA
"Mohawk Pond","19343",122947770,8.2,0.06945223,"Cornwall","Litchfield",17.2
"Moodus Reservoir, Lower","20052",123021073,3,1.86339942,"East Haddam","Middlesex",460.5
"Moodus Reservoir, Upper","15873",123021073,3,1.86339942,"East Haddam","Middlesex",460.5
"Moosup Pond","20271",122362533,7.9,0.38456597,"Plainfield","Windham",95
"Morey Pond","19346",116131620,3.7,0.123,"Union","Tolland",30.4
"Morris Reservoir NLA2007,  NLA2012, NLA2017","18374",122956184,23.5,0.56973196,"Morris","Litchfield",140.8
"Mount Tom Pond","18650",122964706,14,0.23004461,"Litchfield","Litchfield",56.8
"Norwich Pond","19350",123016431,11.6,0.1195108,"Lyme","New London",29.5
"Pachaug Pond","15631",122359746,4.9,3.30815095,"Griswold","New London",817.5
"Park Pond Winchester","18949",122968160,4.6,0.3124254,"Winchester","Litchfield",77.2
"Pataganset Lake East Lyme","18934",121945395,10.4,0.49365388,"East Lyme","New London",122
"Pattaconk Reservoir","20053",123014003,4.6,0.20564964,"Chester","Middlesex",50.8
"Pocotopaug Lake","14614",123021068,11.6,2.06907295,"East Hampton","Middlesex",511.3
"Powers Lake","16010",121945746,4,0.56950169,"East Lyme","New London",140.7
"Quinebaug Pond","18202",122356531,8.8,0.28280168,"Killingly","Windham",69.9
"Quonnipaug Lake","19356",122170282,14.6,0.389,"Guilford","New Haven",96.1
"Red Cedar Lake Lebanon","18954",121933768,2.7,0.52952521,"Lebanon","New London",130.8
"Riga Lake","15864",122945660,10.7,0.631,"Salisbury","Litchfield",155.9
"Rogers Lake","19359",123018054,20.1,1.13059598,"Lyme","New London",279.4
"Roseland Lake","16184",122365552,6.1,0.39623277,"Woodstock","Windham",97.9
"Roseland Lake inlet at Mill Brook","20775",NA,NA,0.39623277,"Woodstock","Windham",97.9
"Roseland Lake inlet at Muddy Brook","20776",NA,NA,NA,"Woodstock","Windham",NA
"Roseland Lake outlet at Muddy Brook","20774",NA,NA,0.103,"Woodstock","Windham",25.5
"Silver Lake","14525",123009127,3.7,0.569,"Berlin","Hartford",140.6
"Squantz Pond","15870",122963716,14.3,1.0972886,"New Fairfield","Fairfield",271.1
"Stillwater Pond","18948",122981220,7.9,0.37641061,"Torrington","Litchfield",93
"Tyler Lake","16011",122947698,7.9,0.83163247,"Goshen","Litchfield",205.5
"Uncas Pond","16012",123018006,12.2,0.297969,"Lyme","New London",73.6
"UNK Big Spectacle Meadow Pond","20765",NA,1.5,0.022,"Durham","Middlesex",5.4
"West Hill Pond","16165",123632852,18,0.994,"New Hartford","Litchfield",245.6
"West Side Pond","19028",122947662,10.1,0.15499045,"Goshen","Litchfield",38.3
"Whites Pond","20763",123001588,4,0.08112156,"Suffield","Hartford",20
"Whittlesey Brook","17192",NA,NA,NA,"Morris","Litchfield",NA
"Wononscopomuc Lake","16154",122972770,32.9,1.409,"Salisbury","Litchfield",348.2
"Woodridge Lake","19995",122986115,7.2,1.53,"Goshen","Litchfield",378.1
